Max_Keyword,Max_Volume,Max_KD,Max_CPC,Sum_Organic_Traffic,Industry_Relevant,Easy_CPC_Traffic
bounty bug,5400,0.1500000059604644,6.170000076293945,6600,122,1070
bounty program,5400,0.1500000059604644,6.170000076293945,6600,122,1070
bounty programs,5400,0.1500000059604644,6.170000076293945,6600,122,1070
bug bounties,5400,0.1500000059604644,6.170000076293945,6600,122,1070
bug bounty,5400,0.1500000059604644,6.170000076293945,6600,122,1070
syn-ack,4400,0.079999998,3.4100000858306885,3600,82,1056
synack,4400,0.079999998,3.4100000858306885,3600,82,1056
iam security,1900,0.2300000041723251,4.329999923706055,4400,232,1016
iam cybersecurity,1900,0.2300000041723251,4.329999923706055,4400,232,1016
iam cyber security,1900,0.2300000041723251,4.329999923706055,4400,232,1016
security iam,1900,0.2300000041723251,4.329999923706055,4400,232,1016
secure iam,1900,0.2300000041723251,4.329999923706055,4400,232,1016
industry compliance regulations,9900,0.079999998,10.5,9900,100,943
compliance regulations by industry,9900,0.079999998,10.5,9900,100,943
fire coal,320,0.7699999809265137,0.3499999940395355,320,100,914
coalfire jobs,210,0.01,0.2000000029802322,170,81,850
red team cyber security course,210,0.079999998,1.2400000095367432,1000,476,806
calculator password,210,0.059999999,0.3300000131130218,260,124,788
calculator # password,210,0.059999999,0.3300000131130218,260,124,788
ups cyber security,210,0.079999998,0.270000011,210,100,778
bug bounty hackerone,880,0.1800000071525573,3.0899999141693115,2400,273,777
secure up,40,0.07,0.1000000014901161,70,175,700
hacker rfid,140,0.079999998,0.209999993,140,100,667
hacking rfid,140,0.079999998,0.209999993,140,100,667
hack rfid,140,0.079999998,0.209999993,140,100,667
rfid hacking,140,0.079999998,0.209999993,140,100,667
night labs,480,0.7599999904632568,0.7599999904632568,480,100,632
share files citrix,4400,0.209999993,6.119999885559082,3600,82,588
hacking items,50,0.01,0.1199999973177909,70,140,583
free download hacks,40,0.07,0.07,40,100,571
free download hack,40,0.07,0.07,40,100,571
boblov,390,0.9900000095367432,0.6899999976158142,390,100,565
hacking stuff,70,0.029999999,0.1299999952316284,70,100,538
tcm security,4400,0.1000000014901161,14.31000042,6600,150,461
network security analyzer,110,0.02,0.7099999785423279,320,291,451
ek group careers,30,0.1199999973177909,0.050000001,20,67,400
logmeinrescue,2900,0.2000000029802322,11.140000343322754,4400,152,395
bug bounty programs,2400,0.270000011,7.460000038146973,2900,121,389
bug bounty program,2400,0.270000011,7.460000038146973,2900,121,389
threadfix tool,110,1,0.4399999976158142,170,155,386
infrastructure in it,3600,0.029999999,11.699999809265137,4400,122,376
app hacker,260,0.1800000071525573,0.9100000262260436,320,123,352
account breaker,390,0.1599999964237213,1.4600000381469729,480,123,329
what is dynamic page,390,0.1199999973177909,1.25,390,100,312
what is dynamic pages,390,0.1199999973177909,1.25,390,100,312
what is dynamic web,390,0.1199999973177909,1.25,390,100,312
what is a dynamic web page,390,0.1199999973177909,1.25,390,100,312
what is a dynamic page,390,0.1199999973177909,1.25,390,100,312
what is dynamic web page,390,0.1199999973177909,1.25,390,100,312
what is dynamic web pages,390,0.1199999973177909,1.25,390,100,312
what are dynamic web pages,390,0.1199999973177909,1.25,390,100,312
what are dynamic pages,390,0.1199999973177909,1.25,390,100,312
academy for security,1300,,5.21999979,1600,123,307
evil twin attacks,1600,0.01,4.320000171661377,1300,81,301
evil twin network,1600,0.01,4.320000171661377,1300,81,301
